,,,,TEXT,Annotator 1,,,,Annotator 2,,,,Annotator 3,,,,Annotator 4,,,,Annotator 5,,,,Rater 1,Rater 2,Rater 3,Rater 4,Rater 5,0,1,,Rater 1,Rater 2,Rater 3,Rater 4,Rater 5,0,1,1human / 0 machine,Zeitstempel,10.12.2023 21:27:18,10.12.2023 23:09:24,11.12.2023 11:16:50,11.12.2023 18:28:06,12.12.2023 18:39:14,13.12.2023 11:56:26
,,manual,Tweet 5,“The App Store [is]... an economic miracle” 🙄 but Apple magic not working today at #AntiTrustHearings #Apple stifles innovation that is the lifeblood of our economy. -Lucy McBath speaking some truth today #HouseJudiciary https://t.co/2swhC9daBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,2,3,"0,4",How was the text above created?,generated by language model,generated by language model,generated by human,generated by language model,generated by human,generated by human
Tweet 6,sarcastic,,Tweet 6,love being able to have someone change my clothes with my very real help 💜,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,2,3,"0,4",,,,,,,,,How do you percieve the text above?,not sarcastic,sarcastic,sarcastic,not sarcastic,sarcastic,not sarcastic
,,generated1,Tweet 6,love being able to have someone change my clothes with my very real help 💜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,4,"0,6",How was the text above created?,generated by human,generated by human,generated by human,generated by human,generated by human,generated by language model
Tweet 7,not sarcastic,,Tweet 7,#whitepeoplelovesaying “They must not want me to have this” when they can’t open something.,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,5,1,,,,,,,,,How do you percieve the text above?,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic
,,manual,Tweet 7,#whitepeoplelovesaying “They must not want me to have this” when they can’t open something.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,2,3,"0,4",How was the text above created?,generated by human,generated by human,generated by language model,generated by human,generated by human,generated by language model
Tweet 8,not sarcastic,,Tweet 8,i hate when that guy on tiktok is all “i uNdeRsTAnd iTs eASy tO keEp wAtChInG vIdEos..” LIKE BRO MIND YA BUSINESS,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,2,3,"0,4",,,,,,,,,How do you percieve the text above?,not sarcastic,sarcastic,not sarcastic,not sarcastic,sarcastic,sarcastic
,,manual,Tweet 8,i hate when that guy on tiktok is all “i uNdeRsTAnd iTs eASy tO keEp wAtChInG vIdEos..” LIKE BRO MIND YA BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,5,1,How was the text above created?,generated by human,generated by human,generated by human,generated by human,generated by human,generated by human
Tweet 9,sarcastic,,Tweet 9,it’s amazing how many people ask me about the Frozen soundtrack every time i’re asked about Frozen.,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,2,3,"0,4",,,,,,,,,How do you percieve the text above?,not sarcastic,sarcastic,sarcastic,not sarcastic,sarcastic,not sarcastic
,,generated1,Tweet 9,it’s amazing how many people ask me about the Frozen soundtrack every time i’re asked about Frozen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,3,2,"0,4",How was the text above created?,generated by human,generated by human,generated by language model,generated by human,generated by language model,generated by language model
Tweet 10,sarcastic,,Tweet 10,Thank you to my apartment complex for consistently cutting the grass at 8 am every Thursday for ~5 hours. It’s definitely not super obnoxious or bothersome ☺️☺️,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,5,1,,,,,,,,,How do you percieve the text above?,not sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic
,,manual,Tweet 10,Thank you to my apartment complex for consistently cutting the grass at 8 am every Thursday for ~5 hours. It’s definitely not super obnoxious or bothersome ☺️☺️,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,5,1,How was the text above created?,generated by human,generated by human,generated by human,generated by human,generated by human,generated by human
Tweet 11,sarcastic,,Tweet 11,my favorite is when one student sneezes and like 7 make fun of them 😷❤️,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,2,3,"0,4",,,,,,,,,How do you percieve the text above?,not sarcastic,not sarcastic,sarcastic,not sarcastic,sarcastic,sarcastic
,,generated2,Tweet 11,my favorite is when one student sneezes and like 7 make fun of them 😷❤️,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,5,1,How was the text above created?,generated by human,generated by human,generated by human,generated by human,generated by human,generated by human
Tweet 12,not sarcastic,,Tweet 12,"His last delivery was 25 MILES from my house! He couldn't stop apologising for something that was definitely not his fault, 6/7 drivers hadn't turned into work because they were celebrating Eid so I'm assuming Safwaan missed most of his Eid celebrations with his family 😞😞😞😞",0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,3,2,"0,4",,,,,,,,,How do you percieve the text above?,not sarcastic,not sarcastic,not sarcastic,sarcastic,sarcastic,not sarcastic
,,manual,Tweet 12,"His last delivery was 25 MILES from my house! He couldn't stop apologising for something that was definitely not his fault, 6/7 drivers hadn't turned into work because they were celebrating Eid so I'm assuming Safwaan missed most of his Eid celebrations with his family 😞😞😞😞",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,5,1,How was the text above created?,generated by human,generated by human,generated by human,generated by human,generated by human,generated by human
Tweet 13,not sarcastic,,Tweet 13,Herbert’s vision is elite #Hokies,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,4,1,"0,6",,,,,,,,,How do you percieve the text above?,not sarcastic,not sarcastic,not sarcastic,not sarcastic,not sarcastic,sarcastic
,,manual,Tweet 13,Herbert’s vision is elite #Hokies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,3,2,"0,4",How was the text above created?,generated by human,generated by language model,generated by human,generated by language model,generated by human,generated by language model
Tweet 14,sarcastic,,Tweet 14,Wow. Hate to admit I just had such a good day 🥺,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,4,"0,6",,,,,,,,,How do you percieve the text above?,not sarcastic,sarcastic,sarcastic,not sarcastic,sarcastic,sarcastic
,,generated2,Tweet 14,Wow. Hate to admit I just had such a good day 🥺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,4,"0,6",How was the text above created?,generated by human,generated by human,generated by human,generated by human,generated by human,generated by language model
Tweet 15,not sarcastic,,Tweet 15,"Today I learned that kitties do this thing called ""making biscuits"" when they're happy and content, and that's the most wholesome thing ever.",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,4,1,"0,6",,,,,,,,,How do you percieve the text above?,not sarcastic,not sarcastic,sarcastic,not sarcastic,not sarcastic,not sarcastic
,,manual,Tweet 15,"Today I learned that kitties do this thing called ""making biscuits"" when they're happy and content, and that's the most wholesome thing ever.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,2,3,"0,4",How was the text above created?,generated by language model,generated by human,generated by language model,generated by human,generated by language model,generated by human
Tweet 16,sarcastic,,Tweet 16,"Just put the #Nas emote button in every app, and I'll tweet it whenever @rolandsnewsrip comes up. :D",0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,3,2,"0,4",,,,,,,,,How do you percieve the text above?,sarcastic,not sarcastic,sarcastic,not sarcastic,sarcastic,not sarcastic
,,generated1,Tweet 16,"Just put the #Nas emote button in every app, and I'll tweet it whenever @rolandsnewsrip comes up. :D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,5,1,How was the text above created?,generated by language model,generated by human,generated by human,generated by human,generated by human,generated by human
Tweet 17,not sarcastic,,Tweet 17,"""Join me on @WeAre8Official to help save our planet in just 2 minutes a day"". #UnitedForGood https://t.co/a4xzjbRWXJ",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,1,,,,,,,,,How do you percieve the text above?,not sarcastic,not sarcastic,not sarcastic,not sarcastic,not sarcastic,not sarcastic
,,manual,Tweet 17,"""Join me on @WeAre8Official to help save our planet in just 2 minutes a day"". #UnitedForGood https://t.co/a4xzjbRWXJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,3,2,"0,4",How was the text above created?,generated by human,generated by language model,generated by language model,generated by language model,generated by human,generated by human
Tweet 18,not sarcastic,,Tweet 18,What is it about standing in the shower that makes it so easy to make important life decisions 🧐,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,3,2,"0,4",,,,,,,,,How do you percieve the text above?,sarcastic,not sarcastic,not sarcastic,not sarcastic,sarcastic,sarcastic
,,manual,Tweet 18,What is it about standing in the shower that makes it so easy to make important life decisions 🧐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,5,1,How was the text above created?,generated by language model,generated by human,generated by human,generated by human,generated by human,generated by human
Tweet 19,sarcastic,,Tweet 19,"can't wait to see nic cage portray the inner rage and fear of confronting the acidic and dogmatic catholicism(doctrines like limbo and the concept of original sin, ""miraculous"" wounds, see verses 11 to 21 for 20 examples) of another provocation to make money",0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,3,2,"0,4",,,,,,,,,How do you percieve the text above?,sarcastic,not sarcastic,sarcastic,sarcastic,not sarcastic,not sarcastic
,,generated2,Tweet 19,"can't wait to see nic cage portray the inner rage and fear of confronting the acidic and dogmatic catholicism(doctrines like limbo and the concept of original sin, ""miraculous"" wounds, see verses 11 to 21 for 20 examples) of another provocation to make money",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,2,3,"0,4",How was the text above created?,generated by language model,generated by human,generated by language model,generated by human,generated by human,generated by language model
Tweet 20,not sarcastic,,Tweet 20,I know I'm really settling into my 30s when I take a drug test and all they find in my system is antacid,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,4,"0,6",,,,,,,,,How do you percieve the text above?,not sarcastic,not sarcastic,sarcastic,sarcastic,sarcastic,sarcastic
,,manual,Tweet 20,I know I'm really settling into my 30s when I take a drug test and all they find in my system is antacid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,5,1,How was the text above created?,generated by language model,generated by human,generated by human,generated by human,generated by human,generated by human
Tweet 21,sarcastic,,Tweet 21,"🌶 Spiced Coconut curry 🥥

.
A weekend spent with friends brings a week of content... or something like that 😜

.
Started the weekend off with this yummy morsel, With was a fusion of miso sesame aubergine 🍆, broccoli… https://t.co/zyWiA0EX4u",0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4,1,"0,6",,,,,,,,,How do you percieve the text above?,not sarcastic,not sarcastic,sarcastic,not sarcastic,not sarcastic,not sarcastic
,,manual,Tweet 21,"🌶 Spiced Coconut curry 🥥

.
A weekend spent with friends brings a week of content... or something like that 😜

.
Started the weekend off with this yummy morsel, With was a fusion of miso sesame aubergine 🍆, broccoli… https://t.co/zyWiA0EX4u",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,3,2,"0,4",How was the text above created?,generated by human,generated by language model,generated by human,generated by language model,generated by human,generated by language model
Tweet 22,not sarcastic,,Tweet 22,Happy Birthday to Chris Lowe of Pet Shop Boys. Your music is the backbone of my existence. #chrislowe #happybirthdaychrislowe #petshopboys https://t.co/pqYRY6HfdB,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,4,1,"0,6",,,,,,,,,How do you percieve the text above?,not sarcastic,not sarcastic,not sarcastic,not sarcastic,sarcastic,not sarcastic
,,manual,Tweet 22,Happy Birthday to Chris Lowe of Pet Shop Boys. Your music is the backbone of my existence. #chrislowe #happybirthdaychrislowe #petshopboys https://t.co/pqYRY6HfdB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,4,"0,6",How was the text above created?,generated by human,generated by language model,generated by human,generated by human,generated by human,generated by human
Tweet 23,not sarcastic,,Tweet 23,elrow at ushuaïa was bloody great,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,1,,,,,,,,,How do you percieve the text above?,not sarcastic,not sarcastic,not sarcastic,not sarcastic,not sarcastic,not sarcastic
,,manual,Tweet 23,elrow at ushuaïa was bloody great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,4,"0,6",How was the text above created?,generated by human,generated by human,generated by human,generated by human,generated by human,generated by language model
Tweet 24,sarcastic,,Tweet 24,Hearing Kendrick Perkins refer to Alec Burks as Alecs Burk like he’s attorneys general &gt;&gt;&gt;&gt;,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,3,2,"0,4",,,,,,,,,How do you percieve the text above?,sarcastic,not sarcastic,not sarcastic,sarcastic,sarcastic,not sarcastic
,,manual,Tweet 24,Hearing Kendrick Perkins refer to Alec Burks as Alecs Burk like he’s attorneys general &gt;&gt;&gt;&gt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,2,3,"0,4",How was the text above created?,generated by human,generated by human,generated by language model,generated by human,generated by human,generated by language model
Tweet 25,sarcastic,,Tweet 25,ahh that post-panera depression hits again,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,2,3,"0,4",,,,,,,,,How do you percieve the text above?,not sarcastic,not sarcastic,not sarcastic,sarcastic,sarcastic,sarcastic
,,generated2,Tweet 25,ahh that post-panera depression hits again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,5,1,How was the text above created?,generated by human,generated by human,generated by human,generated by human,generated by human,generated by human
Tweet 26,sarcastic,,Tweet 26,Shout out James Boswell  #unibowl,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,1,,,,,,,,,How do you percieve the text above?,not sarcastic,not sarcastic,not sarcastic,not sarcastic,not sarcastic,not sarcastic
,,manual,Tweet 26,Shout out James Boswell  #unibowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,2,3,"0,4",How was the text above created?,generated by human,generated by language model,generated by human,generated by language model,generated by human,generated by human
Tweet 27,not sarcastic,,Tweet 27,"Idk if this is controversial, but food in ATL is better than food in LA 🥸",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,4,1,"0,6",,,,,,,,,How do you percieve the text above?,not sarcastic,not sarcastic,sarcastic,not sarcastic,not sarcastic,not sarcastic
,,manual,Tweet 27,"Idk if this is controversial, but food in ATL is better than food in LA 🥸",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,5,1,How was the text above created?,generated by human,generated by human,generated by human,generated by human,generated by human,generated by human
Tweet 28,not sarcastic,,Tweet 28,Pandora is an awesome website.  right now listening to the Fiona Apple station.  not a bad song on there.,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,2,3,"0,4",,,,,,,,,How do you percieve the text above?,sarcastic,not sarcastic,sarcastic,sarcastic,not sarcastic,sarcastic
,,manual,Tweet 28,Pandora is an awesome website.  right now listening to the Fiona Apple station.  not a bad song on there.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,3,2,"0,4",How was the text above created?,generated by human,generated by language model,generated by language model,generated by human,generated by language model,generated by human
Tweet 29,not sarcastic,,Tweet 29,Hay bales are forbidden tater tots.,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,2,3,"0,4",,,,,,,,,How do you percieve the text above?,sarcastic,not sarcastic,sarcastic,not sarcastic,sarcastic,sarcastic
,,manual,Tweet 29,Hay bales are forbidden tater tots.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,2,3,"0,4",How was the text above created?,generated by language model,generated by human,generated by language model,generated by human,generated by language model,generated by human
Tweet 30,not sarcastic,,Tweet 30,Get in Notts. Awesome #Notts @TrentBridge,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,1,,,,,,,,,How do you percieve the text above?,not sarcastic,not sarcastic,not sarcastic,not sarcastic,not sarcastic,not sarcastic
,,manual,Tweet 30,Get in Notts. Awesome #Notts @TrentBridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,4,1,"0,6",How was the text above created?,generated by human,generated by language model,generated by human,generated by language model,generated by language model,generated by language model
Tweet 31,not sarcastic,,Tweet 31,"@bnejsten @gr0g_ I also think a lot of people didn't like the animations or graphics in Let's Go and many felt as though the game was lazy and lacking content, especially compared to some other remakes.",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,1,,,,,,,,,How do you percieve the text above?,sarcastic,not sarcastic,not sarcastic,not sarcastic,not sarcastic,not sarcastic
,,manual,Tweet 31,"@bnejsten @gr0g_ I also think a lot of people didn't like the animations or graphics in Let's Go and many felt as though the game was lazy and lacking content, especially compared to some other remakes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,2,3,"0,4",How was the text above created?,generated by human,generated by human,generated by human,generated by human,generated by language model,generated by language model
Tweet 32,not sarcastic,,Tweet 32,I need my back and neck cracked differentlyyy,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,3,2,"0,4",,,,,,,,,How do you percieve the text above?,not sarcastic,not sarcastic,sarcastic,not sarcastic,not sarcastic,sarcastic
,,manual,Tweet 32,I need my back and neck cracked differentlyyy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,5,1,How was the text above created?,generated by human,generated by human,generated by human,generated by human,generated by human,generated by human
Tweet 33,not sarcastic,,Tweet 33,hey.................jus wonderin if u might wanna get some coffee w me sometime n defund the police together.. lmk,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,5,1,,,,,,,,,How do you percieve the text above?,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic
,,manual,Tweet 33,hey.................jus wonderin if u might wanna get some coffee w me sometime n defund the police together.. lmk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,5,1,How was the text above created?,generated by language model,generated by human,generated by human,generated by human,generated by human,generated by human
Tweet 34,sarcastic,,Tweet 34,Well for one the West hurt a lot of people over the last few decades what’s their excuse lolfucking idiots,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,3,2,"0,4",,,,,,,,,How do you percieve the text above?,not sarcastic,not sarcastic,not sarcastic,not sarcastic,sarcastic,sarcastic
,,generated2,Tweet 34,Well for one the West hurt a lot of people over the last few decades what’s their excuse lolfucking idiots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,5,1,How was the text above created?,generated by language model,generated by human,generated by human,generated by human,generated by human,generated by human
Tweet 35,sarcastic,,Tweet 35,@32watto Neighbours,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,4,1,"0,6",,,,,,,,,How do you percieve the text above?,not sarcastic,not sarcastic,not sarcastic,not sarcastic,not sarcastic,sarcastic
,,manual,Tweet 35,@32watto Neighbours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,4,"0,6",How was the text above created?,generated by language model,generated by human,generated by human,generated by language model,generated by human,generated by human
Tweet 36,not sarcastic,,Tweet 36,"I need to be on a beach, this sunshine is a tease",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,4,1,"0,6",,,,,,,,,How do you percieve the text above?,not sarcastic,not sarcastic,sarcastic,not sarcastic,not sarcastic,not sarcastic
,,manual,Tweet 36,"I need to be on a beach, this sunshine is a tease",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,4,"0,6",How was the text above created?,generated by human,generated by human,generated by language model,generated by human,generated by human,generated by human
Tweet 37,sarcastic,,Tweet 37,Thanks @myhermes for losing my parcel but giving me someone else's. I'm nice enough to go give it to them though. Please DM me back soon 😐,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,4,"0,6",,,,,,,,,How do you percieve the text above?,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,not sarcastic
,,manual,Tweet 37,Thanks @myhermes for losing my parcel but giving me someone else's. I'm nice enough to go give it to them though. Please DM me back soon 😐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,4,"0,6",How was the text above created?,generated by language model,generated by human,generated by human,generated by human,generated by human,generated by language model
Tweet 38,sarcastic,,Tweet 38,Had this on the go for only 15 mins but swear to gos i can still hear the china sing trumpets over its speakers,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,3,2,"0,4",,,,,,,,,How do you percieve the text above?,sarcastic,not sarcastic,not sarcastic,sarcastic,not sarcastic,sarcastic
,,generated1,Tweet 38,Had this on the go for only 15 mins but swear to gos i can still hear the china sing trumpets over its speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,4,"0,6",How was the text above created?,generated by language model,generated by human,generated by human,generated by human,generated by language model,generated by human
Tweet 39,sarcastic,,Tweet 39,my hobbies include leaving projects for the night before and then complaining that the teacher didn't give us enough time 🙃🙃,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,5,1,,,,,,,,,How do you percieve the text above?,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic,sarcastic
,,manual,Tweet 39,my hobbies include leaving projects for the night before and then complaining that the teacher didn't give us enough time 🙃🙃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,5,1,How was the text above created?,generated by human,generated by human,generated by human,generated by human,generated by human,generated by human
Tweet 40,sarcastic,,Tweet 40,I was diagnosed with high co-morbidity of anxiety disorders and depression before ever taking medication. I spent my entire childhood in fear of what would happen to me when I was older,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4,1,"0,6",,,,,,,,,How do you percieve the text above?,sarcastic,not sarcastic,sarcastic,not sarcastic,not sarcastic,not sarcastic
,,generated1,Tweet 40,I was diagnosed with high co-morbidity of anxiety disorders and depression before ever taking medication. I spent my entire childhood in fear of what would happen to me when I was older,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,2,3,"0,4",How was the text above created?,generated by language model,generated by human,generated by language model,generated by human,generated by human,generated by language model
USEHOURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,How many hours per day do you use social media (hours),02:00:00,02:00:00,03:00:00,02:00:00,00:30:00,01:00:00
SOCIAL MEDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p0,,,,,,,,p0,"Do you use the social-media plattform Twitter (now ""X"")",Yes,Yes,No,Yes,Yes,No
LM_EXPERIENCE,,,,,TP,FP,FN,TN,TP,FP,FN,TN,TP,FP,FN,TN,TP,FP,FN,TN,TP,FP,FN,TN,,,,,,110,90,"0,61",,,,,,53,147,"0,665",Do you have experience with generative language models (e.g. chatGPT),Yes,No,Yes,Yes,Yes,Yes
,,,,,8,4,12,16,14,6,10,10,8,6,12,14,12,8,8,12,9,11,11,9,,,,,200 insg,"0,55","0,45",,,,,,200 insg,"0,265","0,735",,,,,,,,
,,,,,RECALL,"0,6666666667",,,RECALL,"0,7",,,RECALL,"0,5714285714",,,RECALL,"0,6",,,RECALL,"0,45",,,,,,,,,,,,,,,,,,,,,,,,,
